transaction_id,account_id,transaction_date,amount,currency,transaction_type,category,merchant,location,is_fraudulent,risk_score
TXN-028,ACC-038,2024-02-11 15:47:28,-67.89,USD,CREDIT,CLOTHING,Target,Indianapolis IN,0,0.203
TXN-029,ACC-039,2024-02-09 08:24:13,145.67,USD,DEBIT,GROCERIES,QFC,Seattle WA,0,0.123
TXN-030,ACC-041,2024-02-13 17:31:55,89.34,USD,DEBIT,GAS,ConocoPhillips,Denver CO,0,0.145
TXN-031,ACC-043,2024-02-12 12:48:22,56.78,USD,DEBIT,GROCERIES,Harris Teeter,Washington DC,0,0.156
TXN-032,ACC-044,2024-02-11 14:23:49,-234.56,USD,CREDIT,SHOPPING,Macy's,Washington DC,0,0.212
TXN-033,ACC-001,2024-02-10 16:17:31,345.67,USD,DEBIT,MEDICAL,Dr. Smith Office,New York NY,0,0.178
TXN-034,ACC-003,2024-02-09 09:45:18,23.45,USD,DEBIT,COFFEE,Dunkin Donuts,Los Angeles CA,0,0.165
TXN-035,ACC-005,2024-02-08 20:32:44,-156.78,USD,DEBIT,ENTERTAINMENT,AMC Theaters,Chicago IL,0,0.134
TXN-036,ACC-008,2024-02-07 13:29:17,2345.67,USD,CREDIT,TRANSFER,Bank Transfer,Houston TX,1,0.876
TXN-037,ACC-010,2024-02-06 11:18:52,67.89,USD,DEBIT,GROCERIES,Walmart,Phoenix AZ,0,0.143
TXN-038,ACC-012,2024-02-05 15:47:33,-89.99,USD,DEBIT,SUBSCRIPTION,Spotify,Online,0,0.098
TXN-039,ACC-015,2024-02-04 08:52:19,145.32,USD,DEBIT,PHARMACY,Walgreens,San Antonio TX,0,0.167
TXN-040,ACC-017,2024-02-03 17:23:41,-567.89,USD,DEBIT,INSURANCE,State Farm,San Diego CA,0,0.234
TXN-041,ACC-019,2024-02-02 12:35:28,34.56,USD,DEBIT,FAST_FOOD,Chipotle,Dallas TX,0,0.178
TXN-042,ACC-021,2024-02-01 14:41:15,78.90,USD,DEBIT,GAS,76 Station,San Jose CA,0,0.145
TXN-043,ACC-023,2024-01-31 16:28:37,-234.56,USD,DEBIT,SHOPPING,Nordstrom,Austin TX,0,0.223
TXN-044,ACC-027,2024-01-30 10:15:49,1567.89,USD,CREDIT,INVESTMENT,Fidelity,Fort Worth TX,0,0.067
TXN-045,ACC-030,2024-01-29 13:52:21,45.67,USD,DEBIT,GROCERIES,Meijer,Columbus OH,0,0.156
TXN-046,ACC-034,2024-01-28 19:37:14,-123.45,USD,DEBIT,RESTAURANT,Cheesecake Factory,San Francisco CA,0,0.189
TXN-047,ACC-037,2024-01-27 07:44:36,89.23,USD,DEBIT,UTILITIES,Indianapolis Power,Indianapolis IN,0,0.112
TXN-048,ACC-039,2024-01-26 15:19:58,-456.78,USD,DEBIT,ELECTRONICS,Microsoft Store,Seattle WA,0,0.267
TXN-049,ACC-041,2024-01-25 11:33:42,67.89,USD,DEBIT,COFFEE,Blue Bottle Coffee,Denver CO,0,0.167
TXN-050,ACC-043,2024-01-24 18:26:17,234.56,USD,DEBIT,MEDICAL,Washington Hospital,Washington DC,0,0.178
