customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_admin_tickets,num_tech_tickets,churn
CHURN00017,Female,0,Yes,No,25,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,54.69,1385.58,8,12,No
CHURN00018,Female,1,Yes,No,58,No,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Electronic check,52.2,2957.37,7,1,No
CHURN00019,Male,0,Yes,Yes,35,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,84.22,2624.54,2,5,Yes
CHURN00020,Female,0,No,Yes,8,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Credit card,179.83,1599.12,3,15,Yes
CHURN00021,Female,1,No,Yes,7,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,144.63,1209.64,10,3,Yes
CHURN00022,Male,0,Yes,Yes,52,No,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,193.5,11982.61,7,8,Yes
CHURN00023,Female,1,No,Yes,61,No,No phone service,No,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,22.05,1113.26,9,11,No
CHURN00024,Female,0,Yes,No,52,No,No,DSL,Yes,Yes,No internet service,Yes,No,Yes,One year,No,Mailed check,53.86,2371.42,4,13,No
CHURN00025,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Two year,No,Credit card,45.1,964.97,4,2,No
CHURN00026,Male,0,No,No,53,No,Yes,DSL,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Credit card,193.18,10347.12,5,6,No
CHURN00027,Female,0,No,No,3,No,No,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,93.13,255.46,0,12,Yes
CHURN00028,Male,0,Yes,Yes,56,No,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Two year,No,Mailed check,24.43,1134.72,6,9,No
CHURN00029,Female,1,Yes,No,38,Yes,Yes,No,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,43.67,1943.41,6,0,Yes
CHURN00030,Female,0,Yes,Yes,55,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Two year,No,Bank transfer,121.32,6622.74,8,0,No
CHURN00031,Male,0,No,No,65,No,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Electronic check,140.92,8345.66,10,4,No
CHURN00032,Male,0,Yes,No,22,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,196.29,4887.59,7,7,Yes
CHURN00033,Female,0,No,Yes,52,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No,One year,Yes,Bank transfer,33.87,1929.99,6,2,Yes
CHURN00034,Female,0,No,Yes,46,No,Yes,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,159.12,8089.02,2,8,Yes
CHURN00035,Male,0,Yes,Yes,5,No,Yes,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,36.03,172.33,1,2,Yes
CHURN00036,Male,0,Yes,No,71,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,140.02,8529.91,1,2,No
CHURN00037,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer,175.96,14418.41,1,12,Yes
CHURN00038,Female,0,No,Yes,2,No,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,27.33,52.58,6,15,No
CHURN00039,Female,1,No,No,48,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,One year,No,Credit card,33.63,1335.8,4,0,Yes
CHURN00040,Male,0,No,No,16,No,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,67.51,890.3,0,12,No
CHURN00041,Female,0,No,Yes,23,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,98.37,2515.18,7,7,Yes
CHURN00042,Female,0,No,Yes,49,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,No,Two year,No,Bank transfer,166.09,6761.41,9,12,No
CHURN00043,Male,0,Yes,No,40,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,No,Mailed check,104.54,3572.25,5,14,No
CHURN00044,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,176.19,2007.7,4,11,Yes
CHURN00045,Female,0,No,Yes,38,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,37.65,1615.36,9,9,No
CHURN00046,Male,0,Yes,No,38,No,No,DSL,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,166.24,6856.87,3,6,Yes
CHURN00047,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Two year,No,Bank transfer,114.27,94.27,5,1,No
CHURN00048,Female,0,Yes,Yes,67,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.22,1570.13,3,10,No
CHURN00049,Male,0,Yes,No,33,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card,109.17,3103.69,3,10,No
CHURN00050,Female,1,Yes,No,45,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,51.58,2124.91,7,13,Yes
CHURN00051,Male,1,Yes,No,23,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,176.86,3993.26,9,6,Yes
CHURN00052,Male,0,Yes,No,55,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,34.32,1795.45,9,10,Yes
CHURN00053,Female,0,No,No,62,No,Yes,DSL,No internet service,No internet service,No,Yes,Yes,No,One year,No,Mailed check,141.8,9166.73,6,10,No
CHURN00054,Female,0,No,Yes,41,No,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer,77.81,3516.85,3,7,Yes
CHURN00055,Male,0,Yes,Yes,54,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,143.93,7898.2,4,3,No
CHURN00056,Male,0,Yes,No,18,No,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,158.89,2638.21,10,10,Yes
CHURN00057,Male,0,No,No,4,No,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Two year,No,Mailed check,65.24,227.2,4,7,Yes
CHURN00058,Male,0,No,No,3,Yes,Yes,No,Yes,No,No internet service,Yes,Yes,No internet service,One year,No,Credit card,95.99,342.41,10,2,No
CHURN00059,Female,0,No,No,3,No,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card,134.79,462.65,0,15,Yes
CHURN00060,Male,0,No,No,24,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer,145.04,3753.87,3,0,Yes
CHURN00061,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,22.74,409.75,0,11,No
CHURN00062,Female,0,Yes,No,29,No,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer,128.84,4043.95,4,1,No
CHURN00063,Male,0,No,Yes,18,Yes,No,No,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,195.96,4089.62,0,14,No
CHURN00064,Male,0,No,Yes,54,No,Yes,No,No,No,No,Yes,No internet service,No,One year,Yes,Credit card,197.18,11802.08,8,7,Yes
CHURN00065,Female,0,No,Yes,65,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,179.99,13999.25,10,7,Yes
CHURN00066,Female,0,No,Yes,36,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,169.77,5261.03,4,13,Yes
CHURN00067,Female,0,Yes,Yes,16,No,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,80.79,1083.91,9,1,Yes
CHURN00068,Male,1,No,Yes,13,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Credit card,189.9,2564.25,9,3,No
CHURN00069,Male,0,No,Yes,18,No,No phone service,No,No internet service,No internet service,No,No,No internet service,No,One year,No,Mailed check,110.18,1701.76,5,5,No
CHURN00070,Male,0,No,No,15,No,No,No,Yes,No,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,166.36,2303.51,4,11,No
CHURN00071,Male,0,Yes,No,25,No,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,73.54,1484.48,0,4,No
CHURN00072,Male,0,Yes,No,46,No,No,No,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer,106.35,4078.32,4,6,No
CHURN00073,Male,1,Yes,Yes,57,No,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,108.2,6345.56,4,10,Yes
CHURN00074,Female,1,Yes,Yes,57,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,71.94,3761.78,0,10,No
CHURN00075,Female,0,No,No,60,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer,87.69,5212.43,5,7,No
CHURN00076,Female,0,No,No,22,No,No phone service,No,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card,47.27,1056.34,8,13,No
CHURN00077,Male,0,No,No,14,No,No phone service,DSL,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,46.74,766.53,2,0,No
CHURN00078,Female,0,Yes,No,53,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,Yes,One year,No,Credit card,76.97,4561.22,2,14,No
CHURN00079,Female,0,No,No,13,No,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,82.86,863.54,1,12,No
CHURN00080,Male,0,No,Yes,17,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Two year,Yes,Mailed check,32.14,556.5,8,0,No
CHURN00081,Male,0,Yes,Yes,18,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer,180.56,3404.93,5,9,Yes
CHURN00082,Male,0,No,Yes,55,No,No,No,No internet service,No internet service,Yes,Yes,No,No,Two year,Yes,Bank transfer,138.04,8220.11,4,13,No
CHURN00083,Male,1,Yes,No,7,No,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,133.31,827.52,4,1,Yes
CHURN00084,Female,0,No,Yes,9,No,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card,111.08,909.78,10,5,No
CHURN00085,Female,0,No,Yes,61,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,69.72,4516.58,3,0,No
CHURN00086,Male,0,Yes,Yes,29,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,102.9,2586.41,4,7,Yes
CHURN00087,Male,0,Yes,Yes,31,No,Yes,No,No internet service,No,No,No,Yes,Yes,One year,Yes,Bank transfer,62.55,1974.88,9,10,No
CHURN00088,Female,1,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,48.18,3859.07,7,13,No
CHURN00089,Female,1,No,Yes,70,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card,50.78,4077.26,8,6,Yes
CHURN00090,Male,0,No,No,50,Yes,No,No,No internet service,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,65.83,3441.03,6,9,No
CHURN00091,Female,1,No,Yes,16,No,No,No,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,78.52,1354.53,2,2,No
CHURN00092,Male,1,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,One year,No,Bank transfer,179.3,4005.5,4,2,No
CHURN00093,Male,0,Yes,No,3,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,177.77,622.76,8,3,No
CHURN00094,Male,1,Yes,Yes,54,No,No phone service,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer,94.62,4910.45,2,3,No
CHURN00095,Male,1,Yes,Yes,4,Yes,No,No,Yes,No,No,No,No internet service,No internet service,One year,No,Credit card,173.59,741.84,5,12,Yes
CHURN00096,Female,0,No,Yes,64,Yes,No,DSL,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,181.65,11355.68,6,2,Yes
CHURN00097,Male,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,132.55,9062.16,9,0,No
CHURN00098,Male,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No,Yes,No,No,One year,No,Mailed check,198.11,399.73,4,4,No
CHURN00099,Male,0,No,No,72,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer,27.26,2119.83,10,4,No
CHURN00100,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,Two year,Yes,Credit card,88.66,4837.75,9,2,No
CHURN00101,Female,0,Yes,No,5,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,One year,No,Credit card,58.19,259.26,0,11,No
CHURN00102,Male,0,Yes,No,63,No,Yes,No,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Electronic check,157.53,11459.04,5,9,Yes
CHURN00103,Male,0,No,Yes,49,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,125.95,7210.63,3,8,Yes
CHURN00104,Female,1,No,No,26,No,Yes,No,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer,54.9,1315.84,9,5,No
CHURN00105,Female,0,No,No,24,No,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer,174.71,5011.94,7,5,Yes
CHURN00106,Male,0,Yes,Yes,12,No,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,68.94,737.41,5,6,Yes
CHURN00107,Female,0,No,No,71,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,127.31,9352.04,8,7,No
CHURN00108,Male,0,No,No,2,Yes,Yes,No,No,Yes,Yes,No internet service,No,No internet service,One year,Yes,Credit card,161.89,371.93,10,1,Yes
CHURN00109,Male,1,Yes,Yes,65,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,64.71,3731.49,2,1,Yes
CHURN00110,Male,0,No,Yes,39,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Two year,No,Credit card,123.91,5597.13,9,14,No
CHURN00111,Male,0,No,No,9,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Two year,Yes,Mailed check,117.15,874.25,2,12,No
CHURN00112,Female,0,No,Yes,35,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Credit card,180.75,7084.71,3,9,No
CHURN00113,Male,0,Yes,No,33,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,41.38,1591.98,10,1,No
CHURN00114,Female,0,Yes,Yes,8,No,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,172.04,1137.4,2,15,Yes
CHURN00115,Female,1,No,Yes,34,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,100.81,3444.5,0,11,No
CHURN00116,Male,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer,125.17,881.43,6,12,Yes
CHURN00117,Female,0,Yes,No,24,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Credit card,102.99,2497.71,1,0,No
CHURN00118,Male,1,No,Yes,13,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer,153.99,2395.44,8,11,No
CHURN00119,Female,0,Yes,Yes,69,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,One year,No,Electronic check,63.36,3516.1,7,13,No
CHURN00120,Male,1,Yes,Yes,21,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,178.94,3532.74,2,1,No
CHURN00121,Male,0,No,No,39,No,No phone service,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card,36.56,1419.64,6,0,No
CHURN00122,Female,0,No,Yes,49,No,Yes,No,No,No internet service,No internet service,Yes,No,Yes,One year,No,Bank transfer,139.11,5920.7,3,13,No
CHURN00123,Female,0,No,No,23,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,Two year,No,Mailed check,129.39,3570.91,9,0,No
CHURN00124,Female,0,No,No,70,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,No,Credit card,96.23,5769.74,6,0,Yes
CHURN00125,Female,1,No,Yes,54,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,183.17,9427.2,5,14,Yes
CHURN00126,Female,0,No,No,47,Yes,No,No,No internet service,No,No,No,Yes,No,Two year,Yes,Electronic check,87.88,4616.24,4,8,No
CHURN00127,Male,1,Yes,Yes,14,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,89.79,1475.74,2,11,No
CHURN00128,Female,0,Yes,Yes,32,No,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,134.8,4509.4,3,9,Yes
CHURN00129,Female,0,No,No,21,No,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,One year,Yes,Bank transfer,137.1,2901.05,4,8,Yes
CHURN00130,Male,0,No,Yes,22,No,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,183.99,4348.78,1,10,Yes
CHURN00131,Male,0,No,Yes,9,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Electronic check,45.27,473.2,3,8,No
CHURN00132,Male,0,Yes,Yes,31,Yes,No,No,No,Yes,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,85.68,2142.62,7,8,No
CHURN00133,Male,0,No,Yes,8,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card,197.1,1468.99,9,1,Yes
CHURN00134,Male,0,Yes,No,25,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,121.13,3201.97,9,9,Yes
CHURN00135,Male,1,Yes,Yes,25,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,32.19,686.8,10,12,No
CHURN00136,Female,1,No,Yes,45,Yes,No phone service,No,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card,125.58,5903.59,8,13,No
CHURN00137,Male,1,No,No,67,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,145.49,11474.55,5,12,No
CHURN00138,Male,1,No,Yes,55,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,44.29,2429.61,6,2,No
CHURN00139,Female,0,No,No,51,No,No phone service,DSL,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,152.63,7521.05,3,0,No
CHURN00140,Male,0,Yes,Yes,30,No,Yes,No,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer,113.68,3081.05,5,1,No
CHURN00141,Female,1,No,Yes,43,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No,Yes,One year,No,Bank transfer,66.79,2372.85,7,1,No
CHURN00142,Male,0,Yes,Yes,69,No,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,70.87,4406.61,1,8,No
CHURN00143,Female,0,Yes,Yes,30,No,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,158.51,5672.93,6,3,No
CHURN00144,Female,0,Yes,Yes,55,No,No phone service,No,No internet service,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,55.13,2862.62,6,5,No
CHURN00145,Female,0,No,No,22,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,40.88,762.84,10,14,No
CHURN00146,Female,0,No,Yes,24,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,Two year,No,Credit card,151.0,3451.06,2,3,No
CHURN00147,Female,0,No,No,36,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,173.1,6908.77,8,5,Yes
CHURN00148,Male,0,No,Yes,45,No,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,One year,No,Credit card,59.33,2264.24,3,14,No
CHURN00149,Female,1,No,Yes,29,No,No phone service,DSL,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Mailed check,153.93,5001.16,5,4,No
CHURN00150,Female,0,No,Yes,27,Yes,No phone service,DSL,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,72.0,1984.83,10,9,No
CHURN00151,Female,0,No,Yes,24,Yes,No,No,No internet service,No,Yes,No,No,No internet service,Two year,Yes,Credit card,76.31,1798.92,1,3,No
CHURN00152,Male,0,Yes,No,20,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,No,Electronic check,145.03,3049.07,2,0,Yes
CHURN00153,Male,0,Yes,Yes,58,No,No,DSL,Yes,No,No,No internet service,No,Yes,Two year,Yes,Credit card,92.38,5384.55,8,10,No
CHURN00154,Female,0,No,No,69,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,193.7,15538.68,4,13,Yes
CHURN00155,Male,0,Yes,No,54,No,Yes,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,37.29,2122.67,3,15,Yes
CHURN00156,Female,1,No,Yes,13,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,155.12,1880.71,9,5,No
CHURN00157,Female,0,No,No,18,No,No,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,38.21,674.9,3,3,No
CHURN00158,Female,0,Yes,No,15,Yes,No,DSL,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Mailed check,102.24,1617.97,9,11,Yes
CHURN00159,Female,1,No,Yes,72,No,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,198.42,12101.99,1,6,Yes
CHURN00160,Male,0,Yes,Yes,6,No,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer,65.14,350.95,9,2,Yes
CHURN00161,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,119.26,3677.83,9,10,Yes
CHURN00162,Male,0,Yes,Yes,59,Yes,No phone service,No,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,154.22,7295.61,5,7,Yes
CHURN00163,Female,0,No,No,70,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Credit card,180.73,10370.49,2,8,Yes
CHURN00164,Female,0,Yes,No,36,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,20.85,671.58,5,15,Yes
CHURN00165,Male,1,Yes,Yes,26,Yes,No phone service,No,No,No internet service,Yes,No,No,No,One year,No,Mailed check,84.74,2497.54,1,0,Yes
CHURN00166,Male,0,No,Yes,29,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,25.41,679.95,10,7,No
CHURN00167,Female,1,No,Yes,27,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,63.64,1428.35,4,15,Yes
